model,dataset,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,PAMAP2_lit,0.3029511262094822,0.17851947049417358,0.9999049723231654,42089,38,193678,4,0.8336266149511956,,0.004490057729313663,0.029719905922599956,,,0.57167464,296.85545897483826
GRUAutoencoder,PAMAP2_lit,0.30421612686198696,0.17940475530676642,0.9997149169695437,42081,1238,192478,12,0.833793177731561,,0.0,0.00042762454564892024,,,0.54331803,115.89161467552185
ConvLSTMAutoencoder,PAMAP2_lit,0.30269823802930246,0.17915424600974952,0.9751740194331369,41048,5643,188073,1045,0.7511618219571178,,0.39961513790891595,0.4541372674791533,,,0.05006358,5168.478103160858
