f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,model,dataset
LSTMAutoencoder,SMD,10,0.17611882716049382,0.09656266525647805,1.0,2739,105,25626,0,0.9312110387345219,5.2365376e-05,0.11683096020445419,0.30704636728733115,,,0.0011954588,4.972728252410889
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,10,0.17573463364557937,0.09633172721837302,1.0,2739,37,25694,0,0.9352286637798044,3.9391343e-05,0.09090909090909091,0.19350127783862722,,,0.0010218071,5.549579858779907
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,10,0.7711148648648649,0.6274914089347079,1.0,2739,24105,1626,0,0.9349631595087711,0.0005695525003829997,0.1171960569550931,0.16976998904709747,,,0.00089436077,6.42305326461792
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMD,10,0.8310072815533981,0.7108746431352193,1.0,2739,24617,1114,0,0.9240649413344391,0.0006696835899492728,0.08725812340270171,0.1343556042351223,,,0.00056684605,5.825507164001465
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAutoencoder,SMD,10,0.8999507146377526,0.818100358422939,1.0,2739,25122,609,0,0.8908807030085428,0.0007550039415946242,0.022635998539612998,0.0511135450894487,,,0.00029097576,78.31451678276062
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TransformerEncoderDecoder,SMD,10,0.8409579367516119,0.7255629139072848,1.0,2739,24695,1036,0,0.9500635517504674,0.004432229208759965,0.5100401606425703,0.5129609346476817,,,0.0022142278,33.13265943527222
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
VanillaTransformer,SMD,10,0.9329019073569482,0.8742419406319821,1.0,2739,25337,394,0,0.9371930505931356,0.004575179284438491,0.5480102227090179,0.5947426067907996,,,0.0014450209,12.127481937408447
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TranAD,SMD,10,0.9469317199654278,0.8992120814182535,1.0,2739,25424,307,0,0.9274297737868707,0.004596741893328733,0.5184373859072654,0.5640744797371303,,,0.0013886003,28.421996593475342
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAttentionAutoencoder,SMD,10,0.8713217750914586,0.7719842164599775,1.0,2739,24922,809,0,0.8944690119610157,0.0007972355681704427,0.23658269441401972,0.26140927345746623,,,0.0004598372,137.99428415298462
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvGRUAttentionAutoencoder,SMD,10,0.8990645002461841,0.8166368515205724,1.0,2739,25116,615,0,0.8923011338317894,0.0007893859769683357,0.040160642570281124,0.14311792625045638,,,0.00042971736,251.79103302955627
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMAP,10,0.9371221281741233,0.8816837315130831,1.0,775,7617,104,0,0.43847738258875035,0.06382262021303182,0.6438709677419355,0.6606451612903226,,,3766.4885,0.9532809257507324
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.43233686092809304,0.06154387816786769,0.5264516129032258,0.5277419354838709,,,3766.4766,0.8386244773864746
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAutoencoder,SMAP,10,0.9359903381642513,0.8796821793416572,1.0,775,7615,106,0,0.4027577073001575,0.06044548735022545,0.6464516129032258,0.6606451612903226,,,3765.616,10.28855276107788
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TransformerEncoderDecoder,SMAP,10,0.9177027827116637,0.8479212253829321,1.0,775,7582,139,0,0.5011666548291004,0.08328490868210796,0.52,0.5277419354838709,,,3766.5593,4.185276508331299
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
VanillaTransformer,SMAP,10,0.9171597633136095,0.8469945355191257,1.0,775,7581,140,0,0.4462398736583511,0.033102878704667105,0.5341935483870968,0.5458064516129032,,,3766.4932,1.5536162853240967
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
VanillaTransformer,SMAP,10,0.9171597633136095,0.8469945355191257,1.0,775,7581,140,0,0.4462398736583511,0.033102878704667105,0.5341935483870968,0.5458064516129032,,,3766.4932,2.0361430644989014
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TranAD,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.5266504004579049,0.20918885797262193,0.4270967741935484,0.5174193548387097,,,3766.4675,3.0982913970947266
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAttentionAutoencoder,SMAP,10,0.9286998202516477,0.8668903803131991,1.0,775,7602,119,0,0.4347350961558548,0.06460573107004168,0.6464516129032258,0.6477419354838709,,,3766.5034,14.449798107147217
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvGRUAttentionAutoencoder,SMAP,10,0.9422492401215805,0.8908045977011494,1.0,775,7626,95,0,0.4314480407435106,0.06303006589412691,0.6464516129032258,0.6477419354838709,,,3766.4736,17.109662294387817
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMAP,10,0.9371221281741233,0.8816837315130831,1.0,775,7617,104,0,0.43849710258156427,0.0638348282873631,0.6438709677419355,0.6606451612903226,,,3766.4885,1.1008739471435547
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.43231797652819504,0.061555389314889936,0.5264516129032258,0.5277419354838709,,,3766.4766,0.723231315612793
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.43231797652819504,0.061555389314889936,0.5264516129032258,0.5277419354838709,,,3766.4766,0.6263959407806396
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAutoencoder,SMAP,10,0.9359903381642513,0.8796821793416572,1.0,775,7615,106,0,0.4027651440771085,0.06045223869383336,0.6464516129032258,0.6606451612903226,,,3765.616,8.600653409957886
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TransformerEncoderDecoder,SMAP,10,0.9177027827116637,0.8479212253829321,1.0,775,7582,139,0,0.5007629798914565,0.08330903932452206,0.52,0.5277419354838709,,,3766.5593,3.888697385787964
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
VanillaTransformer,SMAP,10,0.9171597633136095,0.8469945355191257,1.0,775,7581,140,0,0.4463875229265806,0.03313440427184106,0.5341935483870968,0.5458064516129032,,,3766.4932,1.3281629085540771
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TranAD,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.5266374487677093,0.2092279011011124,0.4270967741935484,0.5174193548387097,,,3766.4675,3.252302408218384
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAttentionAutoencoder,SMAP,10,0.9286998202516477,0.8668903803131991,1.0,775,7602,119,0,0.4347353468337296,0.06461841225624088,0.6464516129032258,0.6477419354838709,,,3766.5034,8.440492391586304
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvGRUAttentionAutoencoder,SMAP,10,0.9422492401215805,0.8908045977011494,1.0,775,7626,95,0,0.43144603532051257,0.06304285123944284,0.6464516129032258,0.6477419354838709,,,3766.4736,11.295735120773315
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMAP,10,0.9242695289206917,0.8592017738359202,1.0,775,7594,127,0,0.43745762499425533,0.05885017745196829,0.5264516129032258,0.5380645161290323,,,3766.4783,1.3299646377563477
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMAP,10,0.9237187127532777,0.858250276854928,1.0,775,7593,128,0,0.4348999586381507,0.0530001299083233,0.6477419354838709,0.6619354838709678,,,3766.4724,1.127453327178955
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMAP,10,0.9433962264150944,0.8928571428571429,1.0,775,7628,93,0,0.4099876750044913,0.05866280458867552,0.5238709677419355,0.5277419354838709,,,3766.4758,1.2892189025878906
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAutoencoder,SMAP,10,0.9275882704967086,0.8649553571428571,1.0,775,7600,121,0,0.40145309608065144,0.05504238955676558,0.6464516129032258,0.6541935483870968,,,3765.7117,8.941099166870117
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TransformerEncoderDecoder,SMAP,10,0.9292565947242206,0.8678611422172452,1.0,775,7603,118,0,0.4383776963538903,0.06926135510206224,0.5187096774193548,0.52,,,3766.549,5.2849414348602295
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
VanillaTransformer,SMAP,10,0.9064327485380117,0.8288770053475936,1.0,775,7561,160,0,0.44871590258657784,0.013788205161690735,0.672258064516129,0.7109677419354838,,,3766.4922,3.27909779548645
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TranAD,SMAP,10,0.9515039901780233,0.9074941451990632,1.0,775,7642,79,0,0.47546356605988693,0.12052952393889428,0.552258064516129,0.5703225806451613,,,3766.4602,3.8662614822387695
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAttentionAutoencoder,SMAP,10,0.9298140371925615,0.8688340807174888,1.0,775,7604,117,0,0.3908886112863535,0.05740883380174638,0.28258064516129033,0.2929032258064516,,,3766.5085,9.889691591262817
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvGRUAttentionAutoencoder,SMAP,10,0.9376890502117362,0.8826879271070615,1.0,775,7618,103,0,0.3842225852409223,0.05581684306263925,0.6464516129032258,0.6464516129032258,,,3766.4602,12.293315172195435
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAttentionRCLEDAutoencoder,SMD,10,0.69934890846419,0.5376914016489989,1.0,2739,23376,2355,0,0.9237171693334224,0.002346430341713144,0.012413289521723256,0.016794450529390288,,,8.585976,114.12782430648804
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvGRUAttentionRCLEDAutoencoder,SMD,10,0.7162656903765691,0.5579547769403137,1.0,2739,23561,2170,0,0.9284712948834283,0.000803153430460955,0.12303760496531581,0.21139101861993428,,,8.555117,147.254390001297
LSTMAutoencoder,SMD,0.8717998045495448,0.901481774523501,0.8440194943981271,2251,246,25566,416,0.5233315449624096,0.664222775724463,0.5464616090817994,0.6306724421663817,0.017792944954971975,33.8413143157959
GRUAutoencoder,SMD,0.824839264887159,0.8065209573395881,0.8440194943981271,2251,540,25272,416,0.49887492462059757,0.6532955701965826,0.5178661360687412,0.6097562260857169,0.01427933518654555,28.828341245651245
ConvGRUAutoencoder,SMD,0.7874469158994348,0.999999994226328,0.6494188202121528,1732,0,25812,935,0.5286335895801043,0.6459638973699716,0.598687150718234,0.6693420187506531,0.00895243903013427,3232.6920144557953
LSTMAutoencoder,SMAP,0.8722982783845379,0.773526362217928,0.9999999866310163,748,219,7538,0,1.0,1.0,1.0,1.0,0.053706568408761,12.638707160949707
GRUAutoencoder,SMAP,0.8758732869430795,0.7791666585503473,0.9999999866310163,748,212,7545,0,1.0,1.0,1.0,1.0,0.05261763164921704,2.5940887928009033
ConvLSTMAutoencoder,SMAP,0.8568106711873357,0.7494989904859821,0.9999999866310163,748,250,7507,0,1.0,1.0,1.0,1.0,0.0856850516973934,647.3996422290802
ConvGRUAutoencoder,SMAP,0.8607545807332332,0.7555555479236814,0.9999999866310163,748,242,7515,0,1.0,1.0,1.0,1.0,0.06268460028652058,282.5587546825409
ConvLSTMAttentionAutoencoder,SMAP,0.8573016822670453,0.7502507447316876,0.9999999866310163,748,249,7508,0,1.0,1.0,1.0,1.0,0.06297081834782998,811.898609161377
ConvGRUAttentionAutoencoder,SMAP,0.8607545807332332,0.7555555479236814,0.9999999866310163,748,242,7515,0,1.0,1.0,1.0,1.0,0.0553429949567352,177.97824597358704
TransformerEncoderDecoder,SMAP,0.8324937398389508,0.7130600503998089,0.9999999866310163,748,301,7456,0,1.0,1.0,1.0,1.0,0.010736442723173138,47.16366767883301
VanillaTransformer,SMAP,0.43533069933410445,0.4617691085192038,0.41176470037747726,308,359,7398,440,1.0,1.0,1.0,1.0,0.005419962211536297,12.239404916763306
ConvGRUAutoencoder,SMAP,0.8799950616746539,0.7857142774609845,0.9999999866310163,748,204,7553,0,1.0,1.0,1.0,1.0,0.0006395901184481551,951.0743162631989
ConvGRUAutoencoder,SMAP,0.472750282844466,0.5549549449557668,0.41176470037747726,308,247,7510,440,1.0,1.0,1.0,1.0,0.013926567227558142,1139.4611999988556
CAE_M,SMAP,0.8667389953404668,0.7648261680488122,0.9999999866310163,748,230,7527,0,1.0,1.0,1.0,1.0,0.11180887932971902,4.498226165771484
